0000 - *CLS             *CLS          :*CLS
0125 - EDIT             EDIT          :ANYSensor:POINt:EDIT
0126 - POINt?           POIN?         :ANYSensor:POINt?
0127 - NAME             NAME          :ANYSensor:NAME
0128 - NAME?            NAME?         :ANYSensor:NAME?
0129 - TYPE             TYPE          :ANYSensor:TYPE
012A - TYPE?            TYPE?         :ANYSensor:TYPE?
012B - UNIT             UNIT          :ANYSensor:UNIT
012C - UNIT?            UNIT?         :ANYSensor:UNIT?
012D - DONE?            DONE?         :ANYSensor:DONE?
012E - APPLy            APPL          :ANYSensor:APPLy
012F - SET              SET           :WEBcontrol:KEY:SET
0130 - GET?             GET?          :WEBcontrol:KEY:GET?
0131 - GET?             GET?          :WEBcontrol:GUI:GET?
