nohup: ignoring input
Panel curve /home/ian/src/embedded-mcp/Logs/bench/panel-iv-2026-08-24_145423.json: Voc 7.711 V, Isc 0.1935 A, MPP 1.0981 W @ 6.249 V / 0.1757 A (140 points) -- CH1 follows this curve (alpha 0.4, tick 0.0 s)
DMM: Keysight Technologies,34461A,MY53222530,A.02.14-02.40-02.14-00.49-01-01
Resting V_bat: 3.3160 V
CH2 series ammeter: 0.000 V source, range 3.0 A, compliance +/-3.0 A | CH1 solar: curve follower from Voc 7.711 V, +0.2128/-0.01 A
CH1 on: 7.7127 V (set 7.7114 V; sag under load is panel behavior)
waiting 3.0 s for the board to boot from solar...
CH2 on: 0.0 V across the ammeter (0 near-zero = healthy loop; boot-loop transients are expected and bounded by compliance)
========================================================================
FIRST SAMPLE: i_chg = +0.3196 A (i2_raw +0.3196 A, --sign +1) -- if this is negative while the battery is charging, rerun with --sign -1
========================================================================
[1:47:58] #3240 V_bat=3.4081 V i_chg=+0.2771 A P_in=1.090 W Ah=0.5000 Wh=1.6953 eff=86.6% flags=-
[1:48:58] #3270 V_bat=3.4087 V i_chg=+0.2771 A P_in=1.091 W Ah=0.5046 Wh=1.7110 eff=86.6% flags=-
[1:49:58] #3300 V_bat=3.4093 V i_chg=+0.2770 A P_in=1.091 W Ah=0.5092 Wh=1.7268 eff=86.6% flags=-
[1:50:58] #3330 V_bat=3.4098 V i_chg=+0.2770 A P_in=1.090 W Ah=0.5139 Wh=1.7425 eff=86.6% flags=-
[1:51:58] #3360 V_bat=3.4104 V i_chg=+0.2770 A P_in=1.090 W Ah=0.5185 Wh=1.7582 eff=86.6% flags=-
[1:52:58] #3390 V_bat=3.4109 V i_chg=+0.2769 A P_in=1.090 W Ah=0.5231 Wh=1.7740 eff=86.6% flags=-
[1:53:58] #3420 V_bat=3.4115 V i_chg=+0.2769 A P_in=1.090 W Ah=0.5277 Wh=1.7897 eff=86.6% flags=-
[1:54:58] #3450 V_bat=3.4120 V i_chg=+0.2768 A P_in=1.090 W Ah=0.5323 Wh=1.8055 eff=86.6% flags=-
[1:55:58] #3480 V_bat=3.4124 V i_chg=+0.2768 A P_in=1.090 W Ah=0.5369 Wh=1.8212 eff=86.6% flags=-
[1:56:58] #3510 V_bat=3.4129 V i_chg=+0.2768 A P_in=1.090 W Ah=0.5415 Wh=1.8369 eff=86.6% flags=-
[1:57:58] #3540 V_bat=3.4133 V i_chg=+0.2767 A P_in=1.090 W Ah=0.5462 Wh=1.8527 eff=86.6% flags=-
[1:58:58] #3570 V_bat=3.4137 V i_chg=+0.2767 A P_in=1.090 W Ah=0.5508 Wh=1.8685 eff=86.6% flags=-
[1:59:58] #3600 V_bat=3.4140 V i_chg=+0.2767 A P_in=1.091 W Ah=0.5554 Wh=1.8842 eff=86.6% flags=-
[2:00:58] #3630 V_bat=3.4143 V i_chg=+0.2767 A P_in=1.091 W Ah=0.5600 Wh=1.8999 eff=86.6% flags=-
[2:01:58] #3660 V_bat=3.4146 V i_chg=+0.2767 A P_in=1.091 W Ah=0.5646 Wh=1.9157 eff=86.6% flags=-
[2:02:58] #3690 V_bat=3.4149 V i_chg=+0.2766 A P_in=1.090 W Ah=0.5692 Wh=1.9314 eff=86.6% flags=-
[2:03:58] #3720 V_bat=3.4151 V i_chg=+0.2766 A P_in=1.090 W Ah=0.5738 Wh=1.9472 eff=86.6% flags=-
[2:04:58] #3750 V_bat=3.4153 V i_chg=+0.2766 A P_in=1.090 W Ah=0.5784 Wh=1.9629 eff=86.6% flags=-
[2:05:58] #3780 V_bat=3.4155 V i_chg=+0.2766 A P_in=1.090 W Ah=0.5830 Wh=1.9787 eff=86.6% flags=-
[2:06:58] #3810 V_bat=3.4157 V i_chg=+0.2766 A P_in=1.091 W Ah=0.5877 Wh=1.9944 eff=86.6% flags=-
[2:07:58] #3840 V_bat=3.4158 V i_chg=+0.2766 A P_in=1.090 W Ah=0.5923 Wh=2.0102 eff=86.6% flags=-
[2:08:58] #3870 V_bat=3.4159 V i_chg=+0.2766 A P_in=1.091 W Ah=0.5969 Wh=2.0259 eff=86.6% flags=-
[2:09:58] #3900 V_bat=3.4160 V i_chg=+0.2766 A P_in=1.090 W Ah=0.6015 Wh=2.0416 eff=86.6% flags=-
[2:10:58] #3930 V_bat=3.4161 V i_chg=+0.2766 A P_in=1.090 W Ah=0.6061 Wh=2.0574 eff=86.6% flags=-
[2:11:58] #3960 V_bat=3.4162 V i_chg=+0.2766 A P_in=1.091 W Ah=0.6107 Wh=2.0731 eff=86.6% flags=-
[2:12:58] #3990 V_bat=3.4163 V i_chg=+0.2766 A P_in=1.091 W Ah=0.6153 Wh=2.0889 eff=86.6% flags=-
[2:13:58] #4020 V_bat=3.4164 V i_chg=+0.2766 A P_in=1.090 W Ah=0.6199 Wh=2.1046 eff=86.6% flags=-
[2:14:58] #4050 V_bat=3.4164 V i_chg=+0.2766 A P_in=1.090 W Ah=0.6245 Wh=2.1204 eff=86.6% flags=-
[2:15:58] #4080 V_bat=3.4165 V i_chg=+0.2765 A P_in=1.090 W Ah=0.6291 Wh=2.1361 eff=86.6% flags=-
[2:16:58] #4110 V_bat=3.4166 V i_chg=+0.2766 A P_in=1.091 W Ah=0.6338 Wh=2.1519 eff=86.6% flags=-
[2:17:58] #4140 V_bat=3.4166 V i_chg=+0.2766 A P_in=1.091 W Ah=0.6384 Wh=2.1676 eff=86.6% flags=-
[2:18:58] #4170 V_bat=3.4167 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6430 Wh=2.1834 eff=86.6% flags=-
[2:19:58] #4200 V_bat=3.4167 V i_chg=+0.2765 A P_in=1.090 W Ah=0.6476 Wh=2.1991 eff=86.6% flags=-
[2:20:58] #4230 V_bat=3.4167 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6522 Wh=2.2149 eff=86.6% flags=-
[2:21:58] #4260 V_bat=3.4168 V i_chg=+0.2765 A P_in=1.090 W Ah=0.6568 Wh=2.2306 eff=86.6% flags=-
[2:22:58] #4290 V_bat=3.4168 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6614 Wh=2.2464 eff=86.6% flags=-
[2:23:58] #4320 V_bat=3.4168 V i_chg=+0.2765 A P_in=1.090 W Ah=0.6660 Wh=2.2621 eff=86.6% flags=-
[2:24:58] #4350 V_bat=3.4169 V i_chg=+0.2766 A P_in=1.091 W Ah=0.6706 Wh=2.2779 eff=86.6% flags=-
[2:25:58] #4380 V_bat=3.4169 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6752 Wh=2.2936 eff=86.6% flags=-
[2:26:58] #4410 V_bat=3.4169 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6798 Wh=2.3094 eff=86.6% flags=-
[2:27:58] #4440 V_bat=3.4170 V i_chg=+0.2765 A P_in=1.091 W Ah=0.6844 Wh=2.3251 eff=86.6% flags=-
